"filename", "language", "C++", "C", "Markdown", "Properties", "Shell Script", "Python", "Makefile", "PowerShell", "Log", "XML", "Ini", "YAML", "JSON", "Perl", "JavaScript", "Ruby", "CSV", "Docker", "CMake", "Groovy", "Codex Rules", "Batch", "Lua", "reStructuredText", "pip requirements", "Diff", "TSV", "HTML", "C#", "GLSL", "MS SQL", "PostCSS", "SCSS", "LaTeX", "Objective-C", "Julia", "BibTeX", "Java", "R", "Visual Basic", "comment", "blank", "total"
"c:\Users\SEBA\Downloads\RiduxOS\src\compat8.h", "C++", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 56, 372
"c:\Users\SEBA\Downloads\RiduxOS\src\flush.c", "C", 0, 1184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 79, 1299
"c:\Users\SEBA\Downloads\RiduxOS\src\flush.h", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\SEBA\Downloads\RiduxOS\src\kernel.c", "C", 0, 6238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381, 476, 7095
"c:\Users\SEBA\Downloads\RiduxOS\third_party\README.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Users\SEBA\Downloads\RiduxOS\third_party\browser\firefox\extracted\firefox\application.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 27
"c:\Users\SEBA\Downloads\RiduxOS\third_party\browser\firefox\extracted\firefox\defaults\pref\channel-prefs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 10
"c:\Users\SEBA\Downloads\RiduxOS\third_party\browser\firefox\extracted\firefox\distribution\distribution.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\SEBA\Downloads\RiduxOS\third_party\browser\firefox\extracted\firefox\gmp-clearkey\0.1\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\SEBA\Downloads\RiduxOS\third_party\browser\firefox\extracted\firefox\platform.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\SEBA\Downloads\RiduxOS\third_party\browser\firefox\extracted\firefox\update-settings.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\SEBA\Downloads\RiduxOS\third_party\browser\firefox\extracted\firefox\updater.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\SEBA\Downloads\RiduxOS\third_party\upstream\freebsd-src\.cirrus-ci\pkg-install.sh", "Shell Script", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 23
